Latitude (decimal degrees):	38.496
Longitude (decimal degrees):	27.707
Elevation (m):	97
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	6.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.0,0.0,0.17,0.83,0.0
20200101:0110,0.0,0.0,0.0,0.0,0.0,-0.74,0.83,0.0
20200101:0210,0.0,0.0,0.0,0.0,0.0,-0.55,0.83,0.0
20200101:0310,0.0,0.0,0.0,0.0,0.0,-0.36,0.69,0.0
20200101:0410,0.0,0.0,0.0,0.0,0.0,-0.21,0.76,0.0
20200101:0510,0.0,0.0,0.0,0.0,0.0,-0.06,0.9,0.0
20200101:0610,36.36,0.0,16.36,0.33,6.31,0.16,0.9,0.0
20200101:0710,895.44,59.39,119.21,2.57,15.09,0.83,1.24,0.0
20200101:0810,421.98,0.0,93.63,1.86,22.12,2.15,1.66,0.0
20200101:0910,803.1,7.65,155.77,3.15,26.77,3.03,1.93,0.0
20200101:1010,556.26,0.0,119.08,2.37,28.49,4.05,2.28,0.0
20200101:1110,398.58,0.0,89.99,1.79,27.04,4.33,2.41,0.0
20200101:1210,418.2,0.0,93.63,1.86,22.62,4.24,2.34,0.0
20200101:1310,279.0,0.0,67.27,1.34,15.77,4.04,2.48,0.0
20200101:1410,251.52,17.94,44.54,0.9,7.12,3.62,2.28,0.0
20200101:1510,0.0,0.0,0.0,0.0,0.0,3.06,2.07,0.0
20200101:1610,0.0,0.0,0.0,0.0,0.0,2.22,1.93,0.0
20200101:1710,0.0,0.0,0.0,0.0,0.0,1.6,2.07,0.0
20200101:1810,0.0,0.0,0.0,0.0,0.0,1.21,2.14,0.0
20200101:1910,0.0,0.0,0.0,0.0,0.0,0.91,2.28,0.0
20200101:2010,0.0,0.0,0.0,0.0,0.0,0.49,2.21,0.0
20200101:2110,0.0,0.0,0.0,0.0,0.0,0.11,2.21,0.0
20200101:2210,0.0,0.0,0.0,0.0,0.0,-0.28,2.21,0.0
20200101:2310,0.0,0.0,0.0,0.0,0.0,-0.62,2.21,0.0
20200102:0010,0.0,0.0,0.0,0.0,0.0,-0.9,2.28,0.0
20200102:0110,0.0,0.0,0.0,0.0,0.0,-1.26,2.14,0.0
20200102:0210,0.0,0.0,0.0,0.0,0.0,-1.57,2.07,0.0
20200102:0310,0.0,0.0,0.0,0.0,0.0,-1.84,2.0,0.0
20200102:0410,0.0,0.0,0.0,0.0,0.0,-2.09,2.0,0.0
20200102:0510,0.0,0.0,0.0,0.0,0.0,-2.41,1.93,0.0
20200102:0610,630.66,77.54,55.06,1.12,6.3,-2.34,2.0,0.0
20200102:0710,2588.4,365.14,119.48,4.16,15.1,-0.2,2.69,0.0
20200102:0810,3677.7,548.76,144.24,6.58,22.15,1.16,3.17,0.0
20200102:0910,4265.4,648.65,163.31,8.12,26.83,2.57,3.79,0.0
20200102:1010,3024.66,312.64,256.42,6.94,28.58,3.86,4.41,0.0
20200102:1110,3945.96,551.29,198.62,7.79,27.14,5.21,5.1,0.0
20200102:1210,2876.52,346.38,198.79,5.88,22.74,6.27,5.03,0.0
20200102:1310,2205.3,282.72,139.53,4.01,15.9,6.55,4.34,0.0
20200102:1410,1216.08,180.43,66.31,1.63,7.25,6.29,3.59,0.0
20200102:1510,0.0,0.0,0.0,0.0,0.0,5.04,3.31,0.0
20200102:1610,0.0,0.0,0.0,0.0,0.0,3.91,3.17,0.0
20200102:1710,0.0,0.0,0.0,0.0,0.0,3.05,3.03,0.0
20200102:1810,0.0,0.0,0.0,0.0,0.0,2.18,2.69,0.0
20200102:1910,0.0,0.0,0.0,0.0,0.0,1.93,2.62,0.0
20200102:2010,0.0,0.0,0.0,0.0,0.0,1.3,2.34,0.0
20200102:2110,0.0,0.0,0.0,0.0,0.0,0.64,2.14,0.0
20200102:2210,0.0,0.0,0.0,0.0,0.0,-0.06,1.86,0.0
20200102:2310,0.0,0.0,0.0,0.0,0.0,-0.81,1.79,0.0
20200103:0010,0.0,0.0,0.0,0.0,0.0,-1.46,1.79,0.0
20200103:0110,0.0,0.0,0.0,0.0,0.0,-1.76,1.79,0.0
20200103:0210,0.0,0.0,0.0,0.0,0.0,-2.34,1.79,0.0
